epoch,backbone_lr,head_lr,train_loss,val_loss,val_threshold,train_amp_overflow_steps,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
1,1e-05,0.0001,0.7087362829152204,0.698084412836561,0.235,0,0.5467349551856594,0.5441558441558442,0.5399484536082474,0.5420439844760673,0.5651543768526534,0.5593823465453244,0.49019607843137253,0.48514851485148514,1.0,0.6533333333333333,0.5672891798228726,0.5629525752339137
2,9.94459753267812e-06,9.939057285945933e-05,0.6719071610941625,0.6656397920028836,0.21999999999999997,0,0.5781049935979513,0.5772787318361955,0.5631443298969072,0.5701239399869537,0.6244458434983342,0.6340036125919253,0.5098039215686274,0.494949494949495,1.0,0.6621621621621622,0.6426646130150174,0.6285419621609736
3,9.779754323328192e-06,9.757729755661012e-05,0.6481250835899812,0.6865678534788244,0.20499999999999996,0,0.6350832266325224,0.6330749354005168,0.6314432989690721,0.632258064516129,0.6768529812963984,0.6763178809734525,0.5441176470588235,0.5138121546961326,0.9489795918367347,0.6666666666666666,0.6480554485945321,0.659733754115468
4,9.509529358847655e-06,9.460482294732422e-05,0.6274127978521487,0.6466223679336847,0.21499999999999997,0,0.6574903969270166,0.661744966442953,0.6353092783505154,0.6482577251808022,0.7088940479001076,0.7101542075649359,0.5294117647058824,0.5051546391752577,1.0,0.6712328767123288,0.6581632653061225,0.6797389499960609
5,9.140576474687263e-06,9.054634122155992e-05,0.6218932165684377,0.6724591266875174,0.145,0,0.6427656850192062,0.6352357320099256,0.6597938144329897,0.6472819216182049,0.7133764854017471,0.7201468984346566,0.5245098039215687,0.5025641025641026,1.0,0.6689419795221843,0.6709664998074703,0.6890252629661743
6,8.681980515339463e-06,8.550178566873411e-05,0.5800676957135317,0.6546922419585434,0.20499999999999996,0,0.6933418693982074,0.6972111553784861,0.6765463917525774,0.6867233485938522,0.7653425933212665,0.7790734765980905,0.6127450980392157,0.5612903225806452,0.8877551020408163,0.6877470355731226,0.6951289949942242,0.7000105931096323
7,8.145033635316128e-06,7.959536998847744e-05,0.5833570588566125,0.6578269600868225,0.135,0,0.6933418693982074,0.7009472259810555,0.6675257731958762,0.6838283828382838,0.7591173500170509,0.7683498001090296,0.5245098039215687,0.5026178010471204,0.9795918367346939,0.6643598615916955,0.684924913361571,0.7075970656369018
8,7.542957248827959e-06,7.297252973710758e-05,0.5691191958556865,0.6482763454025867,0.20499999999999996,0,0.6965428937259923,0.6997354497354498,0.6817010309278351,0.6906005221932114,0.773587720678891,0.7872872027330358,0.553921568627451,0.5193370165745856,0.9591836734693877,0.6738351254480287,0.6812668463611861,0.6977447203959506
9,6.890576474687263e-06,6.579634122155991e-05,0.5566088374079265,0.680351994785608,0.09999999999999999,0,0.7074263764404609,0.7031847133757961,0.711340206185567,0.7072389493914157,0.7886155268749508,0.7976605135566263,0.5196078431372549,0.5,0.9897959183673469,0.6643835616438356,0.6844435887562572,0.6996141618564349
10,6.203955092681038e-06,5.824350601949144e-05,0.5474094184504276,0.6496004240185607,0.11499999999999999,0,0.7163892445582587,0.7121019108280254,0.720360824742268,0.7162075592568866,0.79663604050261,0.8102579460801201,0.5294117647058824,0.5051546391752577,1.0,0.6712328767123288,0.6957065845206007,0.7076207121007607
11,5.499999999999998e-06,5.050000000000001e-05,0.530702991079582,0.6455701472712498,0.31999999999999995,0,0.7368758002560819,0.7404479578392622,0.7242268041237113,0.7322475570032573,0.8122393169119384,0.8187733148158723,0.6421568627450981,0.5984251968503937,0.7755102040816326,0.6755555555555556,0.6978244127839814,0.7016429948692183
12,4.79604490731896e-06,4.275649398050859e-05,0.5244639772306484,0.6674528712151098,0.22499999999999998,0,0.7458386683738797,0.7464239271781534,0.7396907216494846,0.7430420711974111,0.8189072296109756,0.8282220018188088,0.6568627450980392,0.6129032258064516,0.7755102040816326,0.6846846846846847,0.7085098190219483,0.7192865840475082
1,4.109423525312735e-06,3.520365877844011e-05,0.5276097051618042,0.6525973408829933,0.25999999999999995,0,0.734955185659411,0.7413333333333333,0.7164948453608248,0.72870249017038,0.8130738306969911,0.8278438115546338,0.6568627450980392,0.6147540983606558,0.7653061224489796,0.6818181818181818,0.7053330766268772,0.7102499712310469
