epoch,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall
0,0.5150753855705261,0.5278635025024414,0.7455722689628601,0.5179800987243652,0.5135802626609802,0.5239294767379761,0.5574324131011963,0.6306337714195251,0.6586748361587524,0.6173012256622314,0.5423728823661804,0.45390069484710693
1,0.5632328391075134,0.5796267986297607,0.7030806541442871,0.5670395493507385,0.5611570477485657,0.5701091289520264,0.6081081032752991,0.6716541051864624,0.6532644629478455,0.6487721800804138,0.5555555820465088,0.8865247964859009
2,0.5640703439712524,0.5981332659721375,0.6890907287597656,0.594110906124115,0.5618811845779419,0.5717884302139282,0.5979729890823364,0.692129909992218,0.6345061659812927,0.6667941808700562,0.6195651888847351,0.40425533056259155
3,0.5812395215034485,0.6116448044776917,0.6843031644821167,0.6108419895172119,0.5797827839851379,0.5827035903930664,0.5945945978164673,0.6938686966896057,0.6300088167190552,0.6725026965141296,0.5929203629493713,0.4751773178577423
4,0.588358461856842,0.6262125372886658,0.6732314825057983,0.6296098232269287,0.593357264995575,0.5549957752227783,0.625,0.7036375403404236,0.6280584335327148,0.6776168346405029,0.6000000238418579,0.6382978558540344
5,0.6109715104103088,0.6483042240142822,0.6613956689834595,0.6459952592849731,0.6108291149139404,0.6062132716178894,0.6452702879905701,0.7130863070487976,0.6219719648361206,0.6844817399978638,0.6153846383094788,0.6808510422706604
6,0.6118090748786926,0.6566576957702637,0.6570580005645752,0.6539026498794556,0.6139896512031555,0.5969773530960083,0.6587837934494019,0.7125829458236694,0.6234952211380005,0.6804054975509644,0.6149425506591797,0.758865237236023
7,0.6092965006828308,0.6570210456848145,0.6526723504066467,0.6646558046340942,0.6121739149093628,0.5910999178886414,0.6182432174682617,0.7134523391723633,0.634223222732544,0.6807252168655396,0.5693069100379944,0.8156028389930725
8,0.5975711941719055,0.6454738974571228,0.6605578064918518,0.6516913771629333,0.5953565239906311,0.6028547286987305,0.6385135054588318,0.7155113220214844,0.6266889572143555,0.6847968101501465,0.5894736647605896,0.7943262457847595
9,0.6222780346870422,0.6693292856216431,0.6468457579612732,0.6680166125297546,0.6217354536056519,0.6196473836898804,0.6554054021835327,0.7160146236419678,0.6182928681373596,0.6854545474052429,0.644444465637207,0.6170212626457214
10,0.6088777184486389,0.660463809967041,0.6514952182769775,0.6646020412445068,0.6150403022766113,0.5768262147903442,0.6418918967247009,0.7115991115570068,0.6200991272926331,0.6818046569824219,0.6241135001182556,0.6241135001182556
11,0.6323283314704895,0.6774471402168274,0.6383246183395386,0.6843697428703308,0.6347975730895996,0.6188077330589294,0.6418918967247009,0.7147563695907593,0.619279682636261,0.6867099404335022,0.6114649772644043,0.6808510422706604
