epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5992317795753479,0.6377865672111511,9.999999747378752e-06,0.6618149876594543,0.5981675386428833,0.5889175534248352,0.6176470518112183,0.6297650933265686,0.6706398129463196,0.6111111044883728,0.5612244606018066
1,0.6261203289031982,0.6911938190460205,9.999999747378752e-06,0.6375346183776855,0.6215189695358276,0.6327319741249084,0.6127451062202454,0.627406656742096,0.6691184043884277,0.6172839403152466,0.5102040767669678
2,0.6389244794845581,0.6954754590988159,9.999999747378752e-06,0.631230890750885,0.6420911550521851,0.6172680258750916,0.6127451062202454,0.6320754289627075,0.6724631190299988,0.582608699798584,0.6836734414100647
3,0.6664532423019409,0.738759458065033,9.999999747378752e-06,0.6016412973403931,0.6649417877197266,0.6623711585998535,0.6274510025978088,0.6399210691452026,0.6646182537078857,0.6037735939025879,0.6530612111091614
4,0.7055057883262634,0.7818049788475037,9.999999747378752e-06,0.5697990655899048,0.7057291865348816,0.6984536051750183,0.6127451062202454,0.6453600525856018,0.6613177061080933,0.6461538672447205,0.4285714328289032
5,0.7016645073890686,0.7759691476821899,9.999999747378752e-06,0.5691404938697815,0.710597813129425,0.6739690899848938,0.6078431606292725,0.6488737463951111,0.6611127853393555,0.5789473652839661,0.6734693646430969
6,0.722791314125061,0.8023694157600403,9.999999747378752e-06,0.5453557372093201,0.7235984206199646,0.7152062058448792,0.6078431606292725,0.6645649075508118,0.6506615281105042,0.5865384340286255,0.6224489808082581
7,0.7471190690994263,0.8228797912597656,9.999999747378752e-06,0.5202575325965881,0.7458064556121826,0.7448453903198242,0.6176470518112183,0.6563342809677124,0.682836651802063,0.6351351141929626,0.47959184646606445
8,0.7714468836784363,0.8592450618743896,9.999999747378752e-06,0.47661685943603516,0.7668789625167847,0.7757731676101685,0.6176470518112183,0.6706777215003967,0.6652772426605225,0.5909090638160706,0.6632652878761292
9,0.795134425163269,0.8733220100402832,4.999999873689376e-06,0.4592053294181824,0.7984293103218079,0.7860824465751648,0.6176470518112183,0.6638428568840027,0.6788866519927979,0.6063829660415649,0.581632673740387
