stage,epoch,lr,train_loss,val_loss,train_threshold,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_specificity,train_roc_auc,train_average_precision,train_tn,train_fp,train_fn,train_tp,val_threshold,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_specificity,val_roc_auc,val_average_precision,val_tn,val_fp,val_fn,val_tp,epoch_seconds
finetune,1,2e-05,0.7469199963782112,0.7191818485073015,0.5,0.5108834827144686,0.5084697410875896,0.53125,0.13144329896907217,0.21074380165289255,0.8854961832061069,0.535649641929645,0.5271115027836863,696,90,674,102,0.5,0.5343137254901961,0.5222371967654986,0.5384615384615384,0.21428571428571427,0.30656934306569344,0.8301886792452831,0.5349441663457836,0.5175539896258295,88,18,77,21,14.633584260940552
finetune,2,2e-05,0.6659288483453621,0.6920213605843338,0.5,0.58898847631242,0.587971524881299,0.6259398496240601,0.42912371134020616,0.5091743119266054,0.7468193384223919,0.6388834238346319,0.6321866139640899,587,199,443,333,0.5,0.5931372549019608,0.5884674624566808,0.5974025974025974,0.46938775510204084,0.5257142857142857,0.7075471698113207,0.5712360415864459,0.5476030189790242,75,31,52,46,15.457889318466187
finetune,3,2e-05,0.645647285842407,0.6901975846758076,0.5,0.6261203585147247,0.6257033524828834,0.6415929203539823,0.5605670103092784,0.5983493810178817,0.6908396946564885,0.6786269379082395,0.6705036423284383,543,243,341,435,0.5,0.5882352941176471,0.5841355410088563,0.5875,0.47959183673469385,0.5280898876404494,0.6886792452830188,0.5771082017712745,0.5581714260297292,73,33,51,47,16.11396336555481
finetune,4,2e-05,0.6325014075610152,0.6891587715522915,0.5,0.6459667093469911,0.6456447889614648,0.6590584878744651,0.595360824742268,0.6255924170616114,0.6959287531806616,0.697928963038745,0.6913988747552426,547,239,314,462,0.5,0.5735294117647058,0.5711397766653832,0.5617977528089888,0.5102040816326531,0.5347593582887701,0.6320754716981132,0.5862533692722371,0.5671785677263441,67,39,48,50,16.632039785385132
finetune,5,2e-05,0.6292781414662066,0.6800108715599659,0.5,0.6434058898847631,0.6432232234201621,0.6489795918367347,0.6146907216494846,0.6313699536730641,0.6717557251908397,0.7013030875370531,0.6969856348382193,528,258,299,477,0.5,0.5931372549019608,0.5888525221409318,0.5949367088607594,0.47959183673469385,0.5310734463276836,0.6981132075471698,0.6022333461686561,0.5815245101797697,74,32,51,47,16.16679286956787
finetune,6,2e-05,0.5959927935759023,0.6723381584765864,0.5,0.6895006402048656,0.6892050969282023,0.7057991513437057,0.6430412371134021,0.6729602157788267,0.7353689567430025,0.7600289210671284,0.7654294581917143,578,208,277,499,0.5,0.6029411764705882,0.5994416634578359,0.6024096385542169,0.5102040816326531,0.5524861878453039,0.6886792452830188,0.6243742780130921,0.6101964820742483,73,33,48,50,16.45860242843628
finetune,7,2e-05,0.5808908795119858,0.6702809918160532,0.5,0.7106274007682458,0.7105007738516829,0.7165775401069518,0.6907216494845361,0.7034120734908137,0.7302798982188295,0.7746189764171978,0.775261690148067,574,212,240,536,0.5,0.6078431372549019,0.6060839430111666,0.5978260869565217,0.5612244897959183,0.5789473684210527,0.6509433962264151,0.6271659607239123,0.6172360876507614,69,37,43,55,16.30344581604004
finetune,8,2e-05,0.5602547733182334,0.6711095910446316,0.5,0.7208706786171575,0.7207116812255712,0.7297297297297297,0.6958762886597938,0.712401055408971,0.7455470737913485,0.8000413158101833,0.7992891220401426,586,200,236,540,0.5,0.5833333333333334,0.5817289179822873,0.5698924731182796,0.5408163265306123,0.5549738219895288,0.6226415094339622,0.6348671544089334,0.6377167731233634,66,40,45,53,15.685548067092896
finetune,9,2e-05,0.5469367610965588,0.6605432068600374,0.5,0.736235595390525,0.7360280422864038,0.75,0.7036082474226805,0.726063829787234,0.7684478371501272,0.8125901733952414,0.8126527846141811,604,182,230,546,0.5,0.6127450980392157,0.6108009241432422,0.6043956043956044,0.5612244897959183,0.582010582010582,0.660377358490566,0.6543126684636119,0.6655363178944598,70,36,43,55,16.509243726730347
finetune,10,2e-05,0.5256682662591433,0.6611149778553084,0.5,0.7464788732394366,0.7462963327299914,0.7588555858310627,0.7177835051546392,0.7377483443708609,0.7748091603053435,0.8314692033262505,0.8351613129624798,609,177,219,557,0.5,0.6127450980392157,0.6092606854062379,0.6144578313253012,0.5204081632653061,0.56353591160221,0.6981132075471698,0.6592221794378128,0.679230806915157,74,32,47,51,16.522557258605957
finetune,11,2e-05,0.5215671222738053,0.6505489863601386,0.5,0.7541613316261203,0.7538725374465518,0.7768361581920904,0.7087628865979382,0.7412398921832885,0.7989821882951654,0.8353958448099473,0.8364277124143271,628,158,226,550,0.5,0.6225490196078431,0.6217751251443974,0.6082474226804123,0.6020408163265306,0.6051282051282051,0.6415094339622641,0.6695225259915287,0.6877010135219687,68,38,39,59,16.429359436035156
finetune,12,2e-05,0.4961665310871891,0.6465057052818,0.5,0.7784891165172856,0.7784800372498097,0.7770618556701031,0.7770618556701031,0.7770618556701031,0.7798982188295165,0.8531550851236852,0.8516752868112629,613,173,173,603,0.5,0.6176470588235294,0.6151328455910665,0.6136363636363636,0.5510204081632653,0.5806451612903226,0.6792452830188679,0.6819407008086252,0.6976401318715859,72,34,44,54,17.29941439628601
finetune,13,2e-05,0.4880210560354167,0.6696233293589424,0.5,0.7829705505761844,0.7827526166679784,0.8013793103448276,0.7487113402061856,0.7741505662891406,0.816793893129771,0.8595836284462631,0.8588979158408147,642,144,195,581,0.5,0.6029411764705882,0.6017520215633423,0.5894736842105263,0.5714285714285714,0.5803108808290155,0.6320754716981132,0.6611474778590682,0.6820535241499247,67,39,42,56,16.69922399520874
finetune,14,2e-05,0.4605981730468447,0.6785240874570959,0.5,0.8002560819462228,0.8000921408147741,0.8143631436314364,0.7744845360824743,0.7939233817701453,0.8256997455470738,0.8803940085517168,0.8841311893655424,649,137,175,601,0.5,0.5980392156862745,0.5947246823257605,0.5952380952380952,0.5102040816326531,0.5494505494505495,0.6792452830188679,0.6608586830958799,0.6894372561370443,72,34,48,50,15.727917432785034
finetune,15,1e-05,0.44790104027746885,0.6690969771029902,0.5,0.8079385403329066,0.8078486923218173,0.8148148148148148,0.7938144329896907,0.804177545691906,0.821882951653944,0.8853568243225519,0.8847184751214812,646,140,160,616,0.5,0.6078431372549019,0.6053138236426646,0.6022727272727273,0.5408163265306123,0.5698924731182796,0.6698113207547169,0.6785714285714286,0.6984472077522381,71,35,45,53,16.485159635543823
