epoch,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall,stage
1,0.5,0.5048952102661133,0.7485361695289612,0.5007483959197998,0.4896551668643951,0.4677206873893738,0.4755555689334869,0.4915966987609863,0.7318941354751587,0.5491201877593994,0.5263158082962036,0.084033615887165,frozen
2,0.5135658979415894,0.5273565053939819,0.7236596345901489,0.5150071382522583,0.5043352842330933,0.4598155319690704,0.5288888812065125,0.5145077109336853,0.6959487795829773,0.5561555027961731,0.5419355034828186,0.7058823704719543,frozen
3,0.5400516986846924,0.5641085505485535,0.7013200521469116,0.5404762625694275,0.5297845602035522,0.5507246255874634,0.4799999892711639,0.5217615365982056,0.7160742878913879,0.552912712097168,0.5277777910232544,0.1596638709306717,frozen
4,0.569767415523529,0.5906937122344971,0.6911938190460205,0.5602516531944275,0.5643153786659241,0.5375494360923767,0.4933333396911621,0.53337562084198,0.6972035765647888,0.563927173614502,0.5274725556373596,0.4033613502979278,frozen
5,0.5452196598052979,0.5835157632827759,0.68717360496521,0.5728805661201477,0.5373134613037109,0.52173912525177,0.5244444608688354,0.539678156375885,0.6894469261169434,0.5725497007369995,0.5422534942626953,0.6470588445663452,frozen
6,0.5620155334472656,0.5990338325500488,0.6826922297477722,0.5810776948928833,0.5557084083557129,0.5322793126106262,0.5199999809265137,0.5388457179069519,0.6884440183639526,0.5740349888801575,0.5390070676803589,0.6386554837226868,frozen
7,0.5704134106636047,0.5979892015457153,0.6841330528259277,0.5814932584762573,0.562666654586792,0.5559947490692139,0.5600000023841858,0.5441176295280457,0.6881157159805298,0.5770692825317383,0.5617284178733826,0.7647058963775635,frozen
8,0.5652454495429993,0.5959503650665283,0.682458758354187,0.5666874051094055,0.5532178282737732,0.5889328122138977,0.5066666603088379,0.54312664270401,0.6887795925140381,0.5690963864326477,0.53125,0.5714285969734192,frozen
9,0.582041323184967,0.6189894676208496,0.6726561784744263,0.596786618232727,0.5708860754966736,0.5942028760910034,0.5377777814865112,0.5439590811729431,0.6904837489128113,0.5658612251281738,0.5688073635101318,0.5210084319114685,frozen
10,0.565891444683075,0.590485692024231,0.6862680912017822,0.5813352465629578,0.5658093690872192,0.4927536249160766,0.5199999809265137,0.5447518229484558,0.687358558177948,0.5637591481208801,0.5407407283782959,0.6134454011917114,frozen
11,0.5691214203834534,0.6053417325019836,0.6779012084007263,0.5933805704116821,0.5647887587547302,0.5283267498016357,0.5244444608688354,0.5447915196418762,0.6866992115974426,0.5693528056144714,0.54347825050354,0.6302521228790283,frozen
12,0.5981912016868591,0.6310200691223145,0.667868971824646,0.6135366559028625,0.5988456010818481,0.5467720627784729,0.5244444608688354,0.545465350151062,0.6862282752990723,0.5725789666175842,0.5416666865348816,0.6554622054100037,frozen
13,0.5917312502861023,0.6241410970687866,0.6686714291572571,0.6113894581794739,0.5875862240791321,0.5612648129463196,0.5422222018241882,0.5505390763282776,0.6845536231994629,0.5795555710792542,0.5547945499420166,0.680672287940979,finetune
14,0.5910852551460266,0.620669424533844,0.6702207326889038,0.6028812527656555,0.5826771855354309,0.5849802494049072,0.5377777814865112,0.5562469959259033,0.6843996047973633,0.5911450982093811,0.5581395626068115,0.605042040348053,finetune
15,0.6001291871070862,0.6285436153411865,0.6662871241569519,0.6059904098510742,0.5916230082511902,0.5955204367637634,0.5377777814865112,0.5610829591751099,0.6875323057174683,0.5909295678138733,0.5742574334144592,0.4873949587345123,finetune
16,0.6059431433677673,0.6423383951187134,0.6603081226348877,0.6302937269210815,0.6021947860717773,0.5783926248550415,0.5244444608688354,0.5729348063468933,0.6849152445793152,0.6040831804275513,0.5612244606018066,0.462184876203537,finetune
17,0.6124030947685242,0.6562750935554504,0.6514159440994263,0.646320641040802,0.6134093999862671,0.5665349364280701,0.5422222018241882,0.5752734541893005,0.6824070811271667,0.6086826324462891,0.5714285969734192,0.5378151535987854,finetune
18,0.5859172940254211,0.6250094175338745,0.6688852906227112,0.6108295321464539,0.5833333134651184,0.5441370010375977,0.5377777814865112,0.5736086964607239,0.6813178062438965,0.6070744395256042,0.5619834661483765,0.5714285969734192,finetune
19,0.6240310072898865,0.6675625443458557,0.6446970701217651,0.6649714112281799,0.6204081773757935,0.6007905006408691,0.5333333611488342,0.5746789574623108,0.6808195114135742,0.6077365279197693,0.5538461804389954,0.605042040348053,finetune
20,0.6104651093482971,0.6544056534767151,0.6535438895225525,0.6462046504020691,0.6117478609085083,0.5625823736190796,0.5377777814865112,0.5743618607521057,0.6798133850097656,0.6117314100265503,0.5531914830207825,0.6554622054100037,finetune
21,0.6350129246711731,0.6742721199989319,0.6460374593734741,0.6431888341903687,0.6296791434288025,0.6205533742904663,0.5333333611488342,0.5745996832847595,0.6798952221870422,0.6136589050292969,0.5507246255874634,0.6386554837226868,finetune
