relative_path,label,split,kaze_keypoints
fake/test/fake_test_00000.jpg,1,test,4
fake/test/fake_test_00001.jpg,1,test,3
fake/test/fake_test_00002.jpg,1,test,11
fake/test/fake_test_00003.jpg,1,test,11
fake/test/fake_test_00005.jpg,1,test,4
fake/test/fake_test_00007.jpg,1,test,14
fake/test/fake_test_00009.jpg,1,test,2
fake/test/fake_test_00011.jpg,1,test,9
fake/test/fake_test_00013.jpg,1,test,17
fake/test/fake_test_00014.jpg,1,test,12
fake/test/fake_test_00015.jpg,1,test,35
fake/test/fake_test_00016.jpg,1,test,2
fake/test/fake_test_00017.jpg,1,test,1
fake/test/fake_test_00019.jpg,1,test,1
fake/test/fake_test_00020.jpg,1,test,1
fake/test/fake_test_00024.jpg,1,test,8
fake/test/fake_test_00025.jpg,1,test,11
fake/test/fake_test_00026.jpg,1,test,26
fake/test/fake_test_00027.jpg,1,test,0
fake/test/fake_test_00029.jpg,1,test,4
fake/test/fake_test_00030.jpg,1,test,5
fake/test/fake_test_00031.jpg,1,test,1
fake/test/fake_test_00033.jpg,1,test,8
fake/test/fake_test_00034.jpg,1,test,0
fake/test/fake_test_00038.jpg,1,test,4
fake/test/fake_test_00040.jpg,1,test,0
fake/test/fake_test_00041.jpg,1,test,11
fake/test/fake_test_00043.jpg,1,test,17
fake/test/fake_test_00044.jpg,1,test,97
fake/test/fake_test_00048.jpg,1,test,5
fake/test/fake_test_00049.jpg,1,test,3
fake/test/fake_test_00050.jpg,1,test,9
fake/test/fake_test_00051.jpg,1,test,9
fake/test/fake_test_00053.jpg,1,test,18
fake/test/fake_test_00056.jpg,1,test,18
fake/test/fake_test_00057.jpg,1,test,5
fake/test/fake_test_00058.jpg,1,test,5
fake/test/fake_test_00061.jpg,1,test,6
fake/test/fake_test_00064.jpg,1,test,11
fake/test/fake_test_00068.jpg,1,test,9
fake/test/fake_test_00073.jpg,1,test,8
fake/test/fake_test_00076.jpg,1,test,8
fake/test/fake_test_00077.jpg,1,test,3
fake/test/fake_test_00078.jpg,1,test,7
fake/test/fake_test_00079.jpg,1,test,28
fake/test/fake_test_00080.jpg,1,test,9
fake/test/fake_test_00082.jpg,1,test,3
fake/test/fake_test_00083.jpg,1,test,13
fake/test/fake_test_00084.jpg,1,test,12
fake/test/fake_test_00085.jpg,1,test,21
fake/test/fake_test_00086.jpg,1,test,4
fake/test/fake_test_00088.jpg,1,test,6
fake/test/fake_test_00089.jpg,1,test,8
fake/test/fake_test_00090.jpg,1,test,7
fake/test/fake_test_00091.jpg,1,test,14
fake/test/fake_test_00093.jpg,1,test,3
fake/test/fake_test_00094.jpg,1,test,2
fake/test/fake_test_00095.jpg,1,test,17
fake/test/fake_test_00097.jpg,1,test,3
fake/test/fake_test_00098.jpg,1,test,1
fake/test/fake_test_00099.jpg,1,test,0
fake/test/fake_test_00100.jpg,1,test,11
fake/test/fake_test_00101.jpg,1,test,6
fake/test/fake_test_00103.jpg,1,test,7
fake/test/fake_test_00104.jpg,1,test,9
fake/test/fake_test_00107.jpg,1,test,2
fake/test/fake_test_00109.jpg,1,test,3
fake/test/fake_test_00113.jpg,1,test,6
fake/test/fake_test_00114.jpg,1,test,10
fake/test/fake_test_00115.jpg,1,test,2
fake/test/fake_test_00116.jpg,1,test,13
fake/test/fake_test_00117.jpg,1,test,2
fake/test/fake_test_00118.jpg,1,test,9
fake/test/fake_test_00119.jpg,1,test,11
fake/test/fake_test_00120.jpg,1,test,1
fake/test/fake_test_00124.jpg,1,test,10
fake/test/fake_test_00125.jpg,1,test,4
fake/test/fake_test_00126.jpg,1,test,0
fake/test/fake_test_00129.jpg,1,test,6
fake/test/fake_test_00130.jpg,1,test,0
fake/test/fake_test_00131.jpg,1,test,8
fake/test/fake_test_00132.jpg,1,test,4
fake/test/fake_test_00133.jpg,1,test,9
fake/test/fake_test_00136.jpg,1,test,2
fake/test/fake_test_00137.jpg,1,test,3
fake/test/fake_test_00138.jpg,1,test,2
fake/test/fake_test_00139.jpg,1,test,12
fake/test/fake_test_00140.jpg,1,test,4
fake/test/fake_test_00141.jpg,1,test,1
fake/test/fake_test_00142.jpg,1,test,3
fake/test/fake_test_00143.jpg,1,test,2
fake/test/fake_test_00144.jpg,1,test,0
fake/test/fake_test_00146.jpg,1,test,3
fake/test/fake_test_00148.jpg,1,test,2
fake/test/fake_test_00149.jpg,1,test,10
