sample_id,source_video,frame_index,face_index,label,split,status,skip_reason,input_path,input_relative_path,output_path,output_relative_path,input_sha256,output_sha256,run_id,processed_at,input_width,input_height,roi_width,roi_height,face_count,blur_score,eye_landmark_fraction,alignment_applied,alignment_angle_degrees,error_type,error_message
1cf9582614f34bbd02f0312544c9a4902defe397992a9d9eb892b38fc7020c27,,4,0.0,fake,test,skipped,insufficient_space_below_eyebrows,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00004.jpg,Fake/test/fake_test_00004.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00004.jpg,fake/test/fake_test_00004.jpg,50fe773d493eff99758705b27eaf2444a71d20511938b92430bfc7f05b1637ed,,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.714670+00:00,640,480,,,1,,,,,,
8909254c65b230b5ca764b49b6112a7b1ff5eeacd90315af1896f8230f478382,,6,0.0,fake,test,skipped,insufficient_space_below_eyebrows,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00006.jpg,Fake/test/fake_test_00006.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00006.jpg,fake/test/fake_test_00006.jpg,c58ca9ec5dd95b5d0db1ba8e310f157e9d100c840d13f4cb1e98fd2e5c2aef9d,,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.782101+00:00,640,480,,,1,,,,,,
a087dece0563c2ae7d001d55730e441e2dddf95945a319751adc06cea83a78f5,,8,0.0,fake,test,skipped,insufficient_space_below_eyebrows,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00008.jpg,Fake/test/fake_test_00008.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00008.jpg,fake/test/fake_test_00008.jpg,bdafb94a9fc29eafeeb6a480dc969aa77258c966e0c3d0745241070849a814b8,,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.849833+00:00,854,480,,,1,,,,,,
ad04f61e4f11442146c5680bc62d2f4cec5a23becac799100521cbd01e678b50,,10,0.0,fake,test,skipped,insufficient_space_below_eyebrows,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00010.jpg,Fake/test/fake_test_00010.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00010.jpg,fake/test/fake_test_00010.jpg,64bbee451aea2e51c6f95c7c8c309997cbd39f881df93b787a5aceea97f3be89,,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.932089+00:00,1920,1080,,,1,,,,,,
18e98a65464c58d68e4089add809a557d5d0b2fc3215846446a8dabfd82774e1,,12,0.0,fake,test,skipped,insufficient_space_below_eyebrows,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00012.jpg,Fake/test/fake_test_00012.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00012.jpg,fake/test/fake_test_00012.jpg,a52a460695c782617a5a4fc2e62954a997c982ead0d19db1d75af9e12da249bf,,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:16.002069+00:00,832,480,,,1,,,,,,
096417db347dd563cd9d1df5648c8e5ee230e26e3342f1f86e188109be23182d,,18,0.0,fake,test,skipped,roi_height_too_small:13,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00018.jpg,Fake/test/fake_test_00018.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00018.jpg,fake/test/fake_test_00018.jpg,648e9b6b0b72f45bbfa49032f224c0f66a1d59d8c57e99e7fa8141f87706b550,,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:16.309088+00:00,640,480,,,1,,,,,,
b99c50b7e0607be59d580ff0f417efe8caa5d8bceb2b2934a9bb0e82a14d96bf,,21,,fake,test,skipped,multiple_faces_detected:2,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00021.jpg,Fake/test/fake_test_00021.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00021.jpg,fake/test/fake_test_00021.jpg,aad39e28d55de1d25b9cd373b1519c6ba4cd100ba1d737536276fe2bce4845a3,,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:16.433194+00:00,1920,1080,,,2,,,,,,
b07f4433a0581d2007ae518fb5c7ef83ef6d225bce0e146fa61111a2593e07da,,22,,fake,test,skipped,face_not_found,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00022.jpg,Fake/test/fake_test_00022.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00022.jpg,fake/test/fake_test_00022.jpg,2e2ef0dd744122a45b1f069eed72a6cad3535f087a7d1291242ff15f79afa255,,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:16.476447+00:00,1920,1080,,,0,,,,,,
8db1fc6d4309e73ca00f217b9069c2378746adc19a261a6a13df4bf779714bd8,,23,0.0,fake,test,skipped,insufficient_space_below_eyebrows,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00023.jpg,Fake/test/fake_test_00023.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00023.jpg,fake/test/fake_test_00023.jpg,73aadff11e59da150217df698f5f5316e1285a3fc759f53e330c361864be7869,,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:16.510852+00:00,640,480,,,1,,,,,,
7ca70b4f362f7361cac897c369856d104731a87f7658675c60d1e8ace6ce88e2,,28,,fake,test,skipped,face_not_found,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00028.jpg,Fake/test/fake_test_00028.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00028.jpg,fake/test/fake_test_00028.jpg,e0c8c4e373d8c6deac335ab1927a0f73f36bdbff402e435f67c56383ca75a236,,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:16.813927+00:00,1920,1080,,,0,,,,,,
