sample_id,source_video,frame_index,face_index,roi_state,label,split,status,skip_reason,sha256,output_path,run_id,training_run_id,original_path,selected_frame_name
e4925e216ccdd011bba0320729ce45c5eb7ed7f731dfa9128b82452ea936c0ef,Deepfakes_434_438,11,0,not_applicable_eyebrow,fake,test,SUCCESS,,0c10402f97f1c50c42447b89cea4f7d742275f000db1f631ec05103aeb44d48a,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00000.jpg,20260806_142915_eyebrow_roi_seed42_b775dfb93f,20260807_0948_eyebrow_hog_lbp_svm_seed42,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/test/Deepfakes_434_438/frame_000011.jpg,fake_test_00000.jpg
06d960f5f888c3779bfd6256e5ec40a6e2e52a0cd249cedc71eef94b21ddf219,FaceShifter_123_119,15,0,not_applicable_eyebrow,fake,test,SUCCESS,,7ba74247a54634f1acef6fe6a56571b4c2a20cfc8ea5b901a547008110a63ffa,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00001.jpg,20260806_142915_eyebrow_roi_seed42_b775dfb93f,20260807_0948_eyebrow_hog_lbp_svm_seed42,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/test/FaceShifter_123_119/frame_000015.jpg,fake_test_00001.jpg
678d8c5c1dbd06780fec3fb7877b0e3acbabdf6c779171f607b40ac114982088,NeuralTextures_200_189,18,0,not_applicable_eyebrow,fake,test,SUCCESS,,fce98aba303f6b721fbeec86543251d90cb0d828ac54c7b8f3f1e21a1153b3b3,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00002.jpg,20260806_142915_eyebrow_roi_seed42_b775dfb93f,20260807_0948_eyebrow_hog_lbp_svm_seed42,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/test/NeuralTextures_200_189/frame_000018.jpg,fake_test_00002.jpg
045f33bf41227388a83fbb414fb5c2ef6db85aa28b3b97b95a85fdbe6844ed08,Face2Face_450_533,3,0,not_applicable_eyebrow,fake,test,SUCCESS,,34677545ae79251fb85afab3a892e848c7edcfac0bd4cc58a77da30e7493aba4,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00003.jpg,20260806_142915_eyebrow_roi_seed42_b775dfb93f,20260807_0948_eyebrow_hog_lbp_svm_seed42,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/test/Face2Face_450_533/frame_000003.jpg,fake_test_00003.jpg
1cf9582614f34bbd02f0312544c9a4902defe397992a9d9eb892b38fc7020c27,NeuralTextures_114_102,4,0,not_applicable_eyebrow,fake,test,SKIPPED,insufficient_space_below_eyebrows,50fe773d493eff99758705b27eaf2444a71d20511938b92430bfc7f05b1637ed,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00004.jpg,20260806_142915_eyebrow_roi_seed42_b775dfb93f,20260807_0948_eyebrow_hog_lbp_svm_seed42,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/test/NeuralTextures_114_102/frame_000004.jpg,fake_test_00004.jpg
9b88438ea4a8c48b727bcd22be544ab4f3b973ccccc05b163f899be3e0b53721,Deepfakes_192_134,10,0,not_applicable_eyebrow,fake,test,SUCCESS,,16cb9f940c140d6ae25558e3514bebf388e8dce16fd31ff7f248fdd345e56a4d,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00005.jpg,20260806_142915_eyebrow_roi_seed42_b775dfb93f,20260807_0948_eyebrow_hog_lbp_svm_seed42,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/test/Deepfakes_192_134/frame_000010.jpg,fake_test_00005.jpg
8909254c65b230b5ca764b49b6112a7b1ff5eeacd90315af1896f8230f478382,Face2Face_000_003,8,0,not_applicable_eyebrow,fake,test,SKIPPED,insufficient_space_below_eyebrows,c58ca9ec5dd95b5d0db1ba8e310f157e9d100c840d13f4cb1e98fd2e5c2aef9d,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00006.jpg,20260806_142915_eyebrow_roi_seed42_b775dfb93f,20260807_0948_eyebrow_hog_lbp_svm_seed42,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/test/Face2Face_000_003/frame_000008.jpg,fake_test_00006.jpg
57267a9c31a741d78e4d0b94c454ca06f179f6a0ebeba171aa70d14e917c37a7,FaceSwap_477_487,10,0,not_applicable_eyebrow,fake,test,SUCCESS,,2566d86ecec3566f5a0e01f9561a6c7a6507df3410e7816efa1607999b0cfc80,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00007.jpg,20260806_142915_eyebrow_roi_seed42_b775dfb93f,20260807_0948_eyebrow_hog_lbp_svm_seed42,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/test/FaceSwap_477_487/frame_000010.jpg,fake_test_00007.jpg
a087dece0563c2ae7d001d55730e441e2dddf95945a319751adc06cea83a78f5,FaceShifter_523_541,17,0,not_applicable_eyebrow,fake,test,SKIPPED,insufficient_space_below_eyebrows,bdafb94a9fc29eafeeb6a480dc969aa77258c966e0c3d0745241070849a814b8,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00008.jpg,20260806_142915_eyebrow_roi_seed42_b775dfb93f,20260807_0948_eyebrow_hog_lbp_svm_seed42,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/test/FaceShifter_523_541/frame_000017.jpg,fake_test_00008.jpg
5c938f6f8d6ecc64397fb8325fcf846fecd1ef9bad8f5ced48f8b6d0abb1135a,FaceShifter_715_721,17,0,not_applicable_eyebrow,fake,test,SUCCESS,,469a3a2e1cc003f21e029842760e44a65267c3504ba152f918fe9ddc39158ff5,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00009.jpg,20260806_142915_eyebrow_roi_seed42_b775dfb93f,20260807_0948_eyebrow_hog_lbp_svm_seed42,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/test/FaceShifter_715_721/frame_000017.jpg,fake_test_00009.jpg
