file_name,label,source_video,source_group,split_group,original_split,split,sha256,orijinal_yol
real_train_00000.jpg,real,477,real_video::477,component::c4c50cf91876abd0,train,train,2774f079f069c44c6f8f7c5359d85dc4494d32556fa092728fa7ad5e0563fac2,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/477/frame_000005.jpg
real_train_00001.jpg,real,471,real_video::471,component::bcd2de865e5ce98a,train,train,86c6c72be0aadb5ffa0cd7bda1a13e06e9c199a80696a85c55e55de52c3cd424,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/471/frame_000000.jpg
real_train_00002.jpg,real,751,real_video::751,component::5706a6071d27d581,train,train,607cebb44274fda739b611f2d3560c292d10f232dcb4962754c0baf16f7090bd,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/751/frame_000014.jpg
real_train_00004.jpg,real,413,real_video::413,component::96358fc7f4f6aa2b,train,train,1ca809254c4a112ee7d1c6b264f252f66b39349053ec2c178920a705fdd55498,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/413/frame_000004.jpg
real_train_00005.jpg,real,620,real_video::620,component::5cc15356c3542946,train,val,8a36c2c6a301e9ffcb68c1894229bbb8273b4dfcddf59c13f128cb5173cc602d,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/620/frame_000013.jpg
real_train_00006.jpg,real,691,real_video::691,component::1c950c411c60fa90,train,train,c6df82430158c3e6e061815cf4c8ceadc0d7fb55bc523e4b999402c38c2f3fda,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/691/frame_000023.jpg
real_train_00008.jpg,real,607,real_video::607,component::92dd812c01ca6e74,train,train,eede9a4b355875497d56d3d898afc8cc92d9cabd57c03f569410b0532523f19f,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/607/frame_000014.jpg
real_train_00010.jpg,real,886,real_video::886,component::249d5a4ca3b7a381,train,train,7169accf835b152876803f96d0fff2853684a38ba89a9e279e7479988e3100ef,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/886/frame_000019.jpg
real_train_00012.jpg,real,178,real_video::178,component::939b51cd34fed505,train,train,7e89ba193f1b32cc7ef583e881fcafa2d88a4b5bf97cab501cbf37eae3075c74,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/178/frame_000019.jpg
real_train_00013.jpg,real,893,real_video::893,component::7faeb31bfe594f3f,train,train,45513a3b35133c631ae5dcab6a988ded3b429db79bf9f0dc373ee07e3e1e94bb,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/893/frame_000018.jpg
real_train_00016.jpg,real,075,real_video::075,component::9df4396595baf3ac,train,train,9249a2a53b8940911dbce611f4a75eaf27b815ee7e3d6d45aead12573ca18844,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/075/frame_000028.jpg
real_train_00017.jpg,real,533,real_video::533,component::ec424f2590c2ca01,train,train,01be46bf3cdc64cc6e40f8ef3854c8191be22b4b2be571da8dd1b190aa6e5c51,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/533/frame_000019.jpg
real_train_00019.jpg,real,871,real_video::871,component::e492fede2573fd41,train,train,aa40e45a5e040ec587fcc02b984029b2247157b305203a555e5cc1a1bac16805,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/871/frame_000004.jpg
real_train_00021.jpg,real,760,real_video::760,component::b8b533b3131e7d4f,train,val,967a2d7e70ceca82938f55ed8eb584039365173a10e949fda1b8df2e28fe677b,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/760/frame_000005.jpg
real_train_00023.jpg,real,201,real_video::201,component::6b7f776bae21e472,train,train,e8ca65884e72b3fdf1ca575ccc602802260f1ad0aa2ee3fec6553da42bc602b2,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/201/frame_000044.jpg
